series_id,model_class,model,scaling,train_length,test_length,mae,rmse,smape,mase
M10190,baseline,AutoETS,none,504,18,21.988217447349655,24.040832708167727,2.298965349949336,0.977165837241083
M10464,baseline,AutoETS,none,58,18,27.224957104789738,30.26108986148231,2.552197571448547,0.9061852581912647
M10660,baseline,AutoETS,none,288,18,41.78602180611645,53.2553097172896,1.567927354898801,0.6044518877614329
M10709,baseline,AutoETS,none,288,18,36.613043058933954,46.36339972948901,0.9340031402204848,0.5101060012249253
M11216,baseline,AutoETS,none,288,18,9.179982850839528,11.305266384124092,0.40884567455523513,0.17718008858963005
M12602,baseline,AutoETS,none,84,18,33.76171011857994,38.14415808843692,1.4420772295029693,0.4199798079712778
M13032,baseline,AutoETS,none,288,18,49.779624051615215,58.80672555554542,2.4383277666012035,0.9758284199187327
M13731,baseline,AutoETS,none,52,18,583.5546380102182,672.369180771168,22.737881380634686,1.1178136921946524
M14111,baseline,AutoETS,none,274,18,605.0749815969032,734.4785343467984,15.162168808421859,0.6406888707102429
M14329,baseline,AutoETS,none,144,18,512.2908818667559,625.9782746340093,17.745653021197977,1.115069667229158
M14447,baseline,AutoETS,none,144,18,658.166727692039,907.3644548994838,9.3242580037887,1.1532281059621794
M14629,baseline,AutoETS,none,52,18,477.489840476699,591.8191549427593,16.374278834308253,0.20936113424669273
M14936,baseline,AutoETS,none,157,18,107.08669060361655,144.73948818725094,6.486652300840746,0.9760450382883392
M15248,baseline,AutoETS,none,157,18,280.8995499655671,333.21653805337377,15.570923116375063,0.4142014443305332
M15257,baseline,AutoETS,none,157,18,147.67935556138275,174.34202056499925,7.559707353033014,0.9654870824795878
M16044,baseline,AutoETS,none,299,18,154.04336176201414,180.50238191776526,6.422589637007308,0.5738560613919609
M16050,baseline,AutoETS,none,299,18,1011.2665945068958,1023.4186346895121,12.677002094343681,1.7264910986132505
M1640,baseline,AutoETS,none,288,18,7.0763509556314705,8.193878534549322,0.5192025715033075,0.265724199150243
